wheelbase,carlength,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarName
88.6,168.8,2548,130,3.47,2.68,9.0,111,5000,21,27,13495.0,alfa-romero giulia
88.6,168.8,2548,130,3.47,2.68,9.0,111,5000,21,27,16500.0,alfa-romero stelvio
94.5,171.2,2823,152,2.68,3.47,9.0,154,5000,19,26,16500.0,alfa-romero Quadrifoglio
99.8,176.6,2337,109,3.19,3.4,10.0,102,5500,24,30,13950.0,audi 100 ls
99.4,176.6,2824,136,3.19,3.4,8.0,115,5500,18,22,17450.0,audi 100ls
99.8,177.3,2507,136,3.19,3.4,8.5,110,5500,19,25,15250.0,audi fox
105.8,192.7,2844,136,3.19,3.4,8.5,110,5500,19,25,17710.0,audi 100ls
105.8,192.7,2954,136,3.19,3.4,8.5,110,5500,19,25,18920.0,audi 5000
105.8,192.7,3086,131,3.13,3.4,8.3,140,5500,17,20,23875.0,audi 4000
99.5,178.2,3053,131,3.13,3.4,7.0,160,5500,16,22,17859.167,audi 5000s (diesel)
101.2,176.8,2395,108,3.5,2.8,8.8,101,5800,23,29,16430.0,bmw 320i
101.2,176.8,2395,108,3.5,2.8,8.8,101,5800,23,29,16925.0,bmw 320i
101.2,176.8,2710,164,3.31,3.19,9.0,121,4250,21,28,20970.0,bmw x1
101.2,176.8,2765,164,3.31,3.19,9.0,121,4250,21,28,21105.0,bmw x3
103.5,189.0,3055,164,3.31,3.19,9.0,121,4250,20,25,24565.0,bmw z4
103.5,189.0,3230,209,3.62,3.39,8.0,182,5400,16,22,30760.0,bmw x4
103.5,193.8,3380,209,3.62,3.39,8.0,182,5400,16,22,41315.0,bmw x5
110.0,197.0,3505,209,3.62,3.39,8.0,182,5400,15,20,36880.0,bmw x3
88.4,141.1,1488,61,2.91,3.03,9.5,48,5100,47,53,5151.0,chevrolet impala
94.5,155.9,1874,90,3.03,3.11,9.6,70,5400,38,43,6295.0,chevrolet monte carlo
94.5,158.8,1909,90,3.03,3.11,9.6,70,5400,38,43,6575.0,chevrolet vega 2300
93.7,157.3,1876,90,2.97,3.23,9.41,68,5500,37,41,5572.0,dodge rampage
93.7,157.3,1876,90,2.97,3.23,9.4,68,5500,31,38,6377.0,dodge challenger se
93.7,157.3,2128,98,3.03,3.39,7.6,102,5500,24,30,7957.0,dodge d200
93.7,157.3,1967,90,2.97,3.23,9.4,68,5500,31,38,6229.0,dodge monaco (sw)
93.7,157.3,1989,90,2.97,3.23,9.4,68,5500,31,38,6692.0,dodge colt hardtop
93.7,157.3,1989,90,2.97,3.23,9.4,68,5500,31,38,7609.0,dodge colt (sw)
93.7,157.3,2191,98,3.03,3.39,7.6,102,5500,24,30,8558.0,dodge coronet custom
103.3,174.6,2535,122,3.34,3.46,8.5,88,5000,24,30,8921.0,dodge dart custom
95.9,173.2,2811,156,3.6,3.9,7.0,145,5000,19,24,12964.0,dodge coronet custom (sw)
86.6,144.6,1713,92,2.91,3.41,9.6,58,4800,49,54,6479.0,honda civic
86.6,144.6,1819,92,2.91,3.41,9.2,76,6000,31,38,6855.0,honda civic cvcc
93.7,150.0,1837,79,2.91,3.07,10.1,60,5500,38,42,5399.0,honda civic
93.7,150.0,1940,92,2.91,3.41,9.2,76,6000,30,34,6529.0,honda accord cvcc
93.7,150.0,1956,92,2.91,3.41,9.2,76,6000,30,34,7129.0,honda civic cvcc
96.5,163.4,2010,92,2.91,3.41,9.2,76,6000,30,34,7295.0,honda accord lx
96.5,157.1,2024,92,2.92,3.41,9.2,76,6000,30,34,7295.0,honda civic 1500 gl
96.5,167.5,2236,110,3.15,3.58,9.0,86,5800,27,33,7895.0,honda accord
96.5,167.5,2289,110,3.15,3.58,9.0,86,5800,27,33,9095.0,honda civic 1300
96.5,175.4,2304,110,3.15,3.58,9.0,86,5800,27,33,8845.0,honda prelude
96.5,175.4,2372,110,3.15,3.58,9.0,86,5800,27,33,10295.0,honda accord
96.5,175.4,2465,110,3.15,3.58,9.0,101,5800,24,28,12945.0,honda civic
96.5,169.1,2293,110,3.15,3.58,9.1,100,5500,25,31,10345.0,honda civic (auto)
94.3,170.7,2337,111,3.31,3.23,8.5,78,4800,24,29,6785.0,isuzu MU-X
94.5,155.9,1874,90,3.03,3.11,9.6,70,5400,38,43,8916.5,isuzu D-Max 
94.5,155.9,1909,90,3.03,3.11,9.6,70,5400,38,43,8916.5,isuzu D-Max V-Cross
96.0,172.6,2734,119,3.43,3.23,9.2,90,5000,24,29,11048.0,isuzu D-Max 
113.0,199.6,4066,258,3.63,4.17,8.1,176,4750,15,19,32250.0,jaguar xj
113.0,199.6,4066,258,3.63,4.17,8.1,176,4750,15,19,35550.0,jaguar xf
102.0,191.7,3950,326,3.54,2.76,11.5,262,5000,13,17,36000.0,jaguar xk
93.1,159.1,1890,91,3.03,3.15,9.0,68,5000,30,31,5195.0,maxda rx3
93.1,159.1,1900,91,3.03,3.15,9.0,68,5000,31,38,6095.0,maxda glc deluxe
93.1,159.1,1905,91,3.03,3.15,9.0,68,5000,31,38,6795.0,mazda rx2 coupe
93.1,166.8,1945,91,3.03,3.15,9.0,68,5000,31,38,6695.0,mazda rx-4
93.1,166.8,1950,91,3.08,3.15,9.0,68,5000,31,38,7395.0,mazda glc deluxe
95.3,169.0,2380,70,3.33,3.255,9.4,101,6000,17,23,10945.0,mazda 626
95.3,169.0,2380,70,3.33,3.255,9.4,101,6000,17,23,11845.0,mazda glc
95.3,169.0,2385,70,3.33,3.255,9.4,101,6000,17,23,13645.0,mazda rx-7 gs
95.3,169.0,2500,80,3.33,3.255,9.4,135,6000,16,23,15645.0,mazda glc 4
98.8,177.8,2385,122,3.39,3.39,8.6,84,4800,26,32,8845.0,mazda 626
98.8,177.8,2410,122,3.39,3.39,8.6,84,4800,26,32,8495.0,mazda glc custom l
98.8,177.8,2385,122,3.39,3.39,8.6,84,4800,26,32,10595.0,mazda glc custom
98.8,177.8,2410,122,3.39,3.39,8.6,84,4800,26,32,10245.0,mazda rx-4
98.8,177.8,2443,122,3.39,3.39,22.7,64,4650,36,42,10795.0,mazda glc deluxe
98.8,177.8,2425,122,3.39,3.39,8.6,84,4800,26,32,11245.0,mazda 626
104.9,175.0,2670,140,3.76,3.16,8.0,120,5000,19,27,18280.0,mazda glc
104.9,175.0,2700,134,3.43,3.64,22.0,72,4200,31,39,18344.0,mazda rx-7 gs
110.0,190.9,3515,183,3.58,3.64,21.5,123,4350,22,25,25552.0,buick electra 225 custom
110.0,190.9,3750,183,3.58,3.64,21.5,123,4350,22,25,28248.0,buick century luxus (sw)
106.7,187.5,3495,183,3.58,3.64,21.5,123,4350,22,25,28176.0,buick century
115.6,202.6,3770,183,3.58,3.64,21.5,123,4350,22,25,31600.0,buick skyhawk
115.6,202.6,3740,234,3.46,3.1,8.3,155,4750,16,18,34184.0,buick opel isuzu deluxe
96.6,180.3,3685,234,3.46,3.1,8.3,155,4750,16,18,35056.0,buick skylark
120.9,208.1,3900,308,3.8,3.35,8.0,184,4500,14,16,40960.0,buick century special
112.0,199.2,3715,304,3.8,3.35,8.0,184,4500,14,16,45400.0,buick regal sport coupe (turbo)
102.7,178.4,2910,140,3.78,3.12,8.0,175,5000,19,24,16503.0,mercury cougar
93.7,157.3,1918,92,2.97,3.23,9.4,68,5500,37,41,5389.0,mitsubishi mirage
93.7,157.3,1944,92,2.97,3.23,9.4,68,5500,31,38,6189.0,mitsubishi lancer
93.7,157.3,2004,92,2.97,3.23,9.4,68,5500,31,38,6669.0,mitsubishi outlander
93.0,157.3,2145,98,3.03,3.39,7.6,102,5500,24,30,7689.0,mitsubishi g4
96.3,173.0,2370,110,3.17,3.46,7.5,116,5500,23,30,9959.0,mitsubishi mirage g4
96.3,173.0,2328,122,3.35,3.46,8.5,88,5000,25,32,8499.0,mitsubishi g4
95.9,173.2,2833,156,3.58,3.86,7.0,145,5000,19,24,12629.0,mitsubishi outlander
95.9,173.2,2921,156,3.59,3.86,7.0,145,5000,19,24,14869.0,mitsubishi g4
95.9,173.2,2926,156,3.59,3.86,7.0,145,5000,19,24,14489.0,mitsubishi mirage g4
96.3,172.4,2365,122,3.35,3.46,8.5,88,5000,25,32,6989.0,mitsubishi montero
96.3,172.4,2405,122,3.35,3.46,8.5,88,5000,25,32,8189.0,mitsubishi pajero
96.3,172.4,2403,110,3.17,3.46,7.5,116,5500,23,30,9279.0,mitsubishi outlander
96.3,172.4,2403,110,3.17,3.46,7.5,116,5500,23,30,9279.0,mitsubishi mirage g4
94.5,165.3,1889,97,3.15,3.29,9.4,69,5200,31,37,5499.0,Nissan versa
94.5,165.3,2017,103,2.99,3.47,21.9,55,4800,45,50,7099.0,nissan gt-r
